sat,tothrs,cumgpa,season,frstsem,crsgpa,verbmath,trmgpa,hssize,hsrank,female,black,white,hsperc,football
1070,62,2.119999886,1,0,2.943599939,0.783330023,1.850000024,288,65,0,0,1,22.56944466,1
940,32,2.650000095,0,0,2.824800014,0.709089994,2.329999924,251,45,0,0,1,17.92828751,0
1100,59,2.640000105,1,0,2.889499903,0.803279996,2.5,306,99,0,0,1,32.35293961,0
1110,52,2.049999952,1,0,2.744999886,0.947369993,2.150000095,216,125,0,0,1,57.87036896,0
860,78,1.940000057,1,0,3.185499907,0.457630008,3.140000105,274,110,0,0,1,40.14598465,0
1110,29,3.859999895,1,0,3.03309989,0.913789988,3.630000114,48,20,1,0,1,41.66666794,0
850,87,2.00999999,1,0,3.248699903,1.023810029,1.940000057,244,146,1,0,1,59.8360672,0
750,0,0,1,1,2.440700054,1.083330035,1.269999981,48,26,1,0,1,54.16666794,0
840,0,0,1,1,2.506500006,0.787230015,2,48,32,1,0,1,66.66666412,0
1050,0,0,1,1,2.384799957,0.75,1.799999952,620,266,0,0,1,42.90322495,0
890,29,2.170000076,1,0,2.826699972,0.854170024,2.5,550,114,1,0,1,20.72727203,0
890,63,1.929999948,1,0,2.949700117,1.225000024,2.25,768,451,1,0,1,58.72395706,0
830,26,1.649999976,1,0,2.438699961,0.930230021,1.710000038,161,147,0,0,1,91.30434418,0
850,0,0,1,1,2.707700014,1.023810029,2.400000095,179,153,0,0,1,85.47486115,0
770,0,0,1,1,2.744400024,0.878050029,2.309999943,620,461,0,0,1,74.35483551,1
910,39,2.430000067,1,0,2.902699947,0.895829976,2.539999962,386,190,0,1,0,49.22279739,1
910,0,0,1,1,2.773600101,0.819999993,0.430000007,563,328,0,0,1,58.25932693,0
1110,30,2.660000086,1,0,2.746900082,0.790319979,2.690000057,4,2,1,0,1,50,0
1090,84,2.410000086,1,0,2.859899998,0.847459972,2.200000048,320,55,1,0,1,17.1875,0
1170,55,3.269999981,0,0,2.699399948,0.746270001,3.329999924,470,127,0,0,1,27.02127647,0
760,28,2.75,1,0,2.984400034,0.948719978,3.440000057,670,71,0,0,0,10.59701538,0
780,0,0,1,1,2.757600069,0.902440012,2.880000114,654,81,1,0,0,12.38532066,0
670,111,2.00999999,1,0,2.645299911,0.81081003,1.5,277,61,0,1,0,22.02165985,1
870,55,2.210000038,1,0,2.831799984,0.891300023,2.25,462,236,0,0,1,51.0822525,0
850,52,1.980000019,1,0,2.679899931,0.770829976,1.330000043,401,45,0,0,1,11.22194481,1
790,57,1.940000057,0,0,2.651400089,0.680850029,1.570000052,403,193,0,0,1,47.89081955,0
1180,69,1.620000005,1,0,2.712800026,0.873019993,3,321,167,0,0,1,52.02492142,1
940,65,2.410000086,1,0,3.142299891,0.649119973,2.5,375,87,0,0,1,23.20000076,1
850,0,0,0,1,2.67869997,0.808510005,1.600000024,448,207,1,0,1,46.2053566,0
540,80,1.929999948,1,0,2.737099886,0.588240027,1.75,577,402,0,1,0,69.6707077,1
930,28,3.319999933,1,0,2.719899893,1.02173996,3.799999952,604,27,1,0,1,4.470198631,0
810,30,2.160000086,1,0,2.708400011,1.024999976,2.789999962,520,214,0,0,1,41.15384674,0
1130,77,3.900000095,1,0,2.73300004,0.793649971,4,450,1,1,0,1,0.222222224,0
940,28,3.140000105,1,0,2.676700115,0.46875,3.5,303,84,0,0,1,27.7227726,0
1010,80,2.359999895,0,0,2.638000011,0.942309976,3,457,123,0,0,1,26.91466141,0
930,38,2.069999933,1,0,2.666800022,1.02173996,1.25,288,197,0,0,1,68.40277863,1
850,66,2.089999914,1,0,2.658799887,0.931819975,2,537,234,0,0,1,43.57542038,0
1160,83,3.49000001,1,0,2.995800018,0.933329999,3.400000095,637,101,1,0,1,15.8555727,0
900,86,2.769999981,1,0,3.008899927,0.914889991,3,637,76,1,0,1,11.93092632,0
920,89,2.690000057,1,0,2.940099955,0.877550006,2.079999924,637,163,1,0,1,25.58869743,0
1020,0,0,1,1,2.311800003,0.789470017,1.429999948,330,160,0,0,1,48.48484802,0
660,80,1.919999957,1,0,2.797600031,0.783779979,1.5,251,130,0,0,0,51.79282761,1
870,0,0,1,1,2.884599924,0.775510013,3.440000057,10,2,1,1,0,20,0
1100,35,3.049999952,1,0,2.867199898,0.864409983,2.789999962,172,137,0,0,1,79.65116119,1
960,30,2.400000095,1,0,2.700900078,0.684210002,3,204,51,0,0,1,25,0
540,100,2.200000048,1,0,2.642699957,0.928569973,2,240,151,0,1,0,62.91666794,1
700,0,0,1,1,2.940399885,0.794870019,2.410000086,238,102,0,1,0,42.8571434,1
490,121,1.950000048,1,0,3.127500057,0.689660013,2.380000114,92,50,0,1,0,54.34782791,0
750,62,2.579999924,1,0,2.875200033,0.973680019,1.75,215,68,0,0,1,31.6279068,1
980,0,0,1,1,2.320199966,0.75,2,190,42,0,0,1,22.10526276,1
870,93,2.220000029,1,0,2.714699984,0.74000001,2.200000048,302,67,0,1,0,22.18543053,1
680,94,2.029999971,1,0,2.829400063,0.619050026,2.150000095,91,13,1,1,0,14.28571415,0
1220,28,2.569999933,1,0,2.945199966,0.671230018,3.140000105,10,3,0,0,0,30,0
1100,29,3.480000019,1,0,2.538500071,0.774190009,3.599999905,10,1,1,0,1,10,0
1100,61,2.210000038,1,0,2.875200033,1.037039995,3,10,6,0,0,1,60,0
730,35,2.650000095,1,0,2.825000048,0.586960018,1,260,116,0,1,0,44.61538315,0
830,77,1.980000019,1,0,2.706099987,0.729170024,1.5,457,279,0,0,1,61.0503273,1
820,104,2.480000019,1,0,2.929399967,0.782609999,2.380000114,98,16,0,0,1,16.32653046,1
580,106,2.00999999,1,0,2.836800098,0.870970011,2.400000095,534,89,0,1,0,16.66666603,1
740,0,0,0,1,2.657099962,1.055559993,2,61,8,0,0,1,13.11475372,0
670,70,2.119999886,1,0,2.389300108,0.81081003,0.330000013,76,58,0,1,0,76.31578827,1
720,39,2.299999952,1,0,2.686000109,0.565219998,2,10,7,0,0,0,70,1
690,36,2.019999981,1,0,2.676700115,0.916670024,1,214,86,0,1,0,40.18691635,1
830,1,4,1,0,3.001699924,0.930230021,0.930000007,10,5,0,1,0,50,1
1020,31,1.870000005,1,0,2.798199892,0.619050026,2.309999943,697,463,0,0,1,66.42754364,1
1090,83,2.869999886,1,0,3.022599936,0.703130007,2.75,472,67,0,0,1,14.19491482,0
750,39,1.710000038,1,0,3.095799923,0.666670024,2.380000114,412,178,0,0,1,43.20388412,1
850,30,1.830000043,1,0,2.515500069,1.073169947,1.25,405,117,0,0,1,28.88888931,0
970,70,1.950000048,1,0,2.939399958,0.865379989,2.5,10,4,0,0,1,40,0
1020,93,3.269999981,1,0,2.822900057,0.672129989,3,450,39,1,0,1,8.666666985,0
770,28,1.850000024,1,0,2.841799974,0.790700018,2.809999943,430,250,0,0,1,58.139534,0
900,0,0,1,1,2.760900021,1.093019962,2.730000019,10,5,0,0,1,50,0
730,1,4,1,0,2.919399977,0.921050012,1.470000029,10,5,0,0,1,50,1
960,0,0,1,1,2.4447999,0.777779996,2.180000067,46,10,0,0,1,21.73913002,1
980,30,2.059999943,1,0,2.707900047,0.719299972,1.799999952,568,384,0,0,1,67.6056366,0
870,33,2.569999933,1,0,2.869800091,0.775510013,2.190000057,227,27,1,0,1,11.8942728,0
950,29,2.890000105,1,0,2.92869997,1.02128005,3,569,218,1,0,1,38.31282806,0
830,57,2.029999971,1,0,2.876600027,1.024389982,1.5,546,285,0,0,1,52.1978035,1
790,72,2.650000095,1,0,3.029700041,1.393939972,3,677,96,1,0,1,14.18020725,0
1010,27,2.960000038,1,0,2.56520009,0.741379976,3,266,10,1,0,1,3.75939846,0
1050,61,2.75,1,0,2.523600101,1.100000024,2,162,22,1,0,1,13.58024693,0
860,59,2.619999886,0,0,2.8756001,0.720000029,3.25,113,29,1,0,1,25.66371727,0
1140,26,3.75999999,1,0,2.69659996,0.965520024,3,454,36,0,0,1,7.929515362,0
860,59,2.690000057,1,0,2.650300026,0.720000029,3.200000048,323,9,0,0,1,2.786377668,0
940,58,2.220000029,1,0,3.036099911,0.843140006,2.539999962,385,105,1,0,1,27.27272797,0
810,65,2.319999933,1,0,3.019299984,0.928569973,2.690000057,385,165,1,0,1,42.8571434,0
850,0,0,1,1,2.586199999,0.847829998,2.650000095,256,39,0,0,1,15.234375,0
1290,28,2,1,0,2.550699949,0.816900015,3.200000048,82,45,0,0,1,54.87804794,0
1170,0,0,1,1,2.671900034,0.828130007,3.410000086,64,4,1,0,1,6.25,0
1100,27,3.180000067,0,0,2.615799904,0.774190009,3,53,10,0,0,1,18.86792374,0
1430,66,3.529999971,1,0,2.632699966,0.833329976,3.670000076,285,14,0,0,1,4.91228056,0
760,25,2.24000001,0,0,2.655299902,1.171429992,2.400000095,272,163,0,0,1,59.92647171,0
820,96,2.309999943,1,0,3.43659997,0.782609999,2.289999962,5,2,1,0,1,40,0
620,59,1.929999948,1,0,3.061100006,1,2.25,200,152,0,1,0,76,0
1080,61,2.289999962,0,0,2.68659997,0.661539972,2.829999924,10,3,0,0,1,30,0
850,24,2.039999962,1,0,2.502000093,0.847829998,1.25,358,135,0,0,1,37.70949554,1
1060,41,1.799999952,1,0,2.947299957,0.796609998,1.669999957,299,149,0,0,1,49.83277512,1
1030,88,2.75999999,1,0,2.955699921,0.907410026,2.75,5,2,1,0,1,40,0
1070,31,1.830000043,1,0,2.815900087,0.813560009,3,485,74,1,0,1,15.25773239,0
940,27,2.329999924,0,0,2.785900116,0.649119973,2.559999943,485,203,0,0,1,41.85567093,0
1130,94,2.720000029,1,0,2.564699888,0.793649971,2.400000095,179,104,0,0,1,58.10055923,0
910,0,0,0,1,2.592099905,0.857140005,2.74000001,10,3,0,0,1,30,0
990,104,3.25,1,0,3.476399899,0.677969992,3.75,321,27,1,0,1,8.411214828,0
950,82,2.680000067,0,0,2.926199913,0.792450011,3,457,45,0,0,1,9.846827507,0
1100,0,0,0,1,2.394999981,1,4,223,16,1,0,1,7.174887657,0
800,26,2.460000038,1,0,2.927000046,0.904760003,2.309999943,325,67,1,0,1,20.61538506,0
920,26,3.299999952,1,0,2.77699995,0.957449973,3.25,407,173,0,0,1,42.50614166,1
1210,0,0,1,1,2.568700075,0.833329976,4,546,12,0,0,1,2.197802305,0
1350,62,3.349999905,1,0,2.537400007,0.901409984,3.599999905,5,4,1,0,1,80,0
750,0,0,1,1,2.396199942,1.34375,0,194,182,0,0,1,93.81443024,0
820,54,2.74000001,1,0,2.645400047,0.822220027,2.599999905,210,17,0,0,1,8.095237732,0
820,54,2.049999952,1,0,2.575900078,0.822220027,2.5,214,55,0,0,1,25.70093536,0
1010,82,1.850000024,1,0,2.654200077,0.655740023,0.910000026,408,140,0,0,1,34.31372452,0
1040,0,0,1,1,2.593800068,0.793099999,2.5,193,37,1,0,1,19.17098427,0
1150,0,0,1,1,2.263000011,0.796880007,1.75999999,283,13,1,0,1,4.593639374,0
1000,29,2.440000057,0,0,2.530100107,0.754390001,2.400000095,159,67,1,0,1,42.13836288,0
880,58,2.309999943,1,0,2.64380002,1.200000048,0.5,230,82,0,1,0,35.65217209,1
640,40,1.649999976,1,0,2.938800097,1.064520001,2,219,63,0,1,0,28.76712418,1
800,39,2.049999952,1,0,2.572099924,0.860469997,2.599999905,831,220,0,1,0,26.47412682,1
1190,0,0,1,1,2.705699921,0.830770016,2.150000095,323,117,0,0,1,36.22291183,1
470,54,2.200000048,1,0,2.695800066,0.740740001,1,231,92,0,1,0,39.82683945,1
1010,57,1.960000038,1,0,2.685100079,0.803569973,2,100,46,0,0,1,46,0
1150,0,0,1,1,2.468699932,0.885249972,0.75999999,513,277,0,0,1,53.99610138,1
740,92,2.109999895,1,0,3.044100046,0.644439995,2.400000095,253,49,0,0,1,19.36758804,0
1100,30,2.930000067,1,0,2.504899979,0.746029973,2,240,129,0,0,1,53.75,0
1110,106,2.920000076,1,0,3.315799952,1.055559993,2.829999924,448,105,1,0,1,23.4375,0
1020,69,2.630000114,1,0,2.780499935,1.318179965,2.200000048,519,68,0,1,0,13.10211945,1
1050,0,0,1,1,2.57069993,0.75,2,310,110,0,0,1,35.48387146,1
650,32,2.25,1,0,2.715300083,0.857140005,2,249,97,1,0,1,38.95582199,0
880,57,2.519999981,1,0,2.930399895,0.629630029,3.599999905,600,500,0,0,1,83.33333588,0
1070,55,2.25,0,0,3.008599997,0.813560009,2.289999962,491,127,0,0,1,25.86557961,0
1090,0,0,1,1,2.385799885,0.946430027,2.24000001,524,308,0,0,1,58.77862549,0
890,95,2.069999933,0,0,2.718400002,0.745100021,1.830000043,200,88,0,0,1,44,0
630,103,2.109999895,1,0,2.529999971,0.615379989,1.75,167,87,0,0,1,52.09580994,1
1010,0,0,1,1,2.511800051,0.980390012,1.75,91,60,0,0,1,65.93406677,1
520,113,2.049999952,1,0,2.767400026,0.625,1.25,343,160,0,1,0,46.64723206,1
740,0,0,1,1,2.394999981,1.3125,1.24000001,232,63,1,0,1,27.15517235,0
760,0,0,1,1,2.971299887,1,2.410000086,510,441,0,1,0,86.47058868,1
920,64,2.849999905,1,0,2.926199913,1.190479994,3.289999962,492,106,1,0,1,21.54471588,0
980,59,2.269999981,0,0,2.893699884,0.884620011,2.799999952,260,86,0,0,1,33.07692337,0
880,0,0,1,1,2.66140008,0.75999999,3.049999952,177,12,0,0,1,6.779661179,1
960,78,3.019999981,1,0,3.352200031,0.600000024,3.069999933,265,42,0,0,1,15.84905624,0
920,0,0,1,1,2.473099947,0.803919971,2,345,30,1,0,1,8.695652008,0
820,92,2.470000029,1,0,2.704600096,0.744679987,2.25,175,64,0,0,1,36.57143021,1
920,90,2.839999914,0,0,2.762099981,0.735849977,2.799999952,474,244,0,0,1,51.47679138,0
900,79,2.24000001,0,0,2.627399921,0.875,1.809999943,199,52,0,0,1,26.13065338,0
500,109,2.079999924,1,0,2.750099897,0.666670024,1.5,475,145,0,1,0,30.52631569,1
710,1,4,1,0,2.28640008,0.868420005,1.710000038,254,85,0,1,0,33.46456528,1
910,1,4,1,0,3.052999973,0.71697998,2.75,241,93,0,0,1,38.58921051,1
830,43,1.720000029,1,0,2.820100069,0.930230021,2.200000048,195,71,0,0,1,36.41025543,1
970,82,2.200000048,0,0,3.171200037,0.901960015,2.710000038,184,27,0,1,0,14.673913,0
760,1,4,1,0,3.035200119,0.809520006,1.429999948,165,86,0,1,0,52.12121201,1
960,33,2.029999971,1,0,2.603800058,0.74545002,1,170,27,0,0,1,15.88235283,1
860,54,3.5,0,0,2.6954,0.720000029,3.200000048,413,31,0,0,1,7.506053448,0
1060,0,0,0,1,2.542500019,0.927269995,3.069999933,657,141,0,0,1,21.46118736,0
1170,31,3.579999924,1,0,2.938999891,0.918030024,3.200000048,178,25,1,0,1,14.04494381,0
1140,0,0,1,1,2.78550005,0.62857002,3.069999933,348,32,0,0,1,9.195402145,0
890,70,2.140000105,1,0,2.698600054,0.893620014,1.379999995,275,27,0,1,0,9.818181992,1
1010,0,0,0,1,2.902299881,0.771929979,2.069999933,239,43,0,0,1,17.99163246,0
910,0,0,1,1,2.385799885,0.685190022,2.75999999,348,177,0,0,1,50.86206818,0
960,84,2.650000095,1,0,2.542099953,0.655170023,2.420000076,328,94,0,0,1,28.65853691,0
880,65,2.289999962,1,0,2.899300098,0.955560029,2.75,161,35,1,0,1,21.73913002,0
820,96,3.160000086,1,0,3.031100035,1.102560043,2.890000105,94,43,0,0,1,45.74468231,0
800,33,2.720000029,1,0,2.77489996,0.904760003,2.75,148,26,1,0,1,17.56756783,0
940,33,1.899999976,1,0,2.661200047,0.918370008,2.420000076,179,49,0,0,1,27.37430191,0
740,27,2.069999933,1,0,2.715300083,1.114289999,1.460000038,770,90,0,0,1,11.68831158,0
720,0,0,1,1,2.780299902,0.714290023,0.769999981,850,290,0,0,1,34.11764526,0
800,58,1.669999957,1,0,2.822400093,1.051280022,2.5,302,106,0,0,0,35.09933853,0
670,106,2.019999981,1,0,2.712199926,0.914290011,2,315,231,0,1,0,73.33333588,1
1020,34,3.319999933,1,0,2.605499983,1.081629992,3.75999999,468,75,1,0,1,16.02564049,0
1100,0,0,0,1,2.438299894,0.774190009,3.329999924,294,61,1,0,1,20.74829865,0
1040,58,2.700000048,1,0,2.876199961,0.793099999,1.730000019,292,85,0,0,1,29.10958862,0
980,95,2.849999905,1,0,2.733400106,0.689660013,3.329999924,428,23,1,0,1,5.373831749,0
840,29,3.130000114,1,0,2.807199955,0.866670012,3.400000095,177,49,1,0,1,27.68361664,0
790,20,2.75,1,0,2.894200087,0.880949974,2.440000057,676,477,0,0,1,70.56213379,1
1030,80,1.970000029,1,0,2.424499989,0.688520014,2.180000067,384,129,0,0,1,33.59375,1
1020,0,0,1,1,2.589999914,0.699999988,1.830000043,10,10,0,0,1,100,0
1010,53,2.109999895,1,0,3.493000031,0.741379976,3,243,70,0,0,1,28.80658531,0
880,59,2.380000114,1,0,2.953500032,0.955560029,3,370,165,0,0,1,44.59459305,0
870,96,2.700000048,1,0,3.02699995,0.8125,3.049999952,660,282,1,0,1,42.72727203,0
1110,28,3.210000038,1,0,2.316200018,0.734380007,2.460000038,609,17,0,0,1,2.791461468,0
990,0,0,0,1,2.72239995,0.833329976,2.809999943,178,28,1,0,1,15.73033714,0
800,0,0,0,1,2.851999998,0.860469997,2.130000114,552,146,0,0,1,26.44927597,0
1010,25,2.319999933,0,0,2.656100035,0.771929979,2.430000067,771,129,0,0,1,16.73151779,0
1070,38,1.919999957,1,0,2.678499937,0.550719976,3,196,54,0,0,1,27.55101967,0
1000,0,0,1,1,2.648699999,0.886789978,2.430000067,20,11,0,0,1,55,1
560,105,2.049999952,1,0,2.906899929,0.866670012,2.25,290,150,0,1,0,51.72413635,1
790,5,2.799999952,1,0,3.075900078,0.880949974,1.75,235,90,0,1,0,38.29787064,1
740,82,2.019999981,1,0,2.964400053,0.608699977,1.600000024,280,149,0,0,0,53.2142868,1
970,29,2.75,0,0,2.868099928,0.796299994,2.380000114,657,141,0,0,1,21.46118736,0
780,56,2.369999886,1,0,2.939100027,0.813950002,2.400000095,274,118,0,0,1,43.0656929,1
840,29,2.309999943,1,0,2.719099998,1.210530043,2.200000048,212,75,0,0,1,35.37735748,1
830,106,2.00999999,1,0,2.51880002,0.693880022,0.75,77,12,0,0,1,15.58441544,1
870,72,2.339999914,1,0,2.882699966,0.933329999,2.430000067,118,17,1,0,1,14.40677929,0
640,37,1.970000029,1,0,2.610899925,0.600000024,2,157,68,0,1,0,43.31210327,1
1000,63,3.25,1,0,2.697799921,0.639339983,2.599999905,220,15,0,1,0,6.818181992,1
610,29,2.200000048,1,0,2.98149991,0.848479986,2,97,61,0,1,0,62.88659668,1
760,0,0,1,1,3.001699924,0.899999976,2.069999933,295,140,0,0,1,47.45762634,1
1040,50,2.160000086,1,0,2.946399927,1.039219975,3.25,268,73,1,0,1,27.23880577,0
1050,0,0,0,1,2.489599943,0.842109978,3.329999924,316,18,0,1,0,5.696202755,0
740,93,2.130000114,1,0,2.707000017,0.804880023,2,203,72,0,0,1,35.46797943,0
810,0,0,1,1,2.404799938,0.723399997,2.329999924,211,69,0,0,1,32.70142365,0
850,85,1.980000019,1,0,2.992799997,1.23684001,3,203,112,0,1,0,55.17241287,0
920,0,0,1,1,3.007200003,1.421049953,2.640000105,168,75,0,0,1,44.6428566,1
970,64,2.75999999,1,0,2.949599981,0.901960015,2.799999952,125,13,0,0,1,10.39999962,1
1070,65,3.319999933,1,0,2.858700037,0.877189994,3.440000057,158,28,1,0,1,17.72151947,0
590,76,1.690000057,1,0,2.841300011,0.787880003,0.5,202,109,0,1,0,53.96039581,1
700,5,3.400000095,1,0,3.426100016,0.891889989,3.25,133,54,1,0,1,40.60150528,0
930,1,4,1,0,2.78399992,0.978720009,2.74000001,229,38,0,1,0,16.59388733,1
830,29,2.24000001,1,0,2.604799986,0.930230021,2.069999933,10,2,0,1,0,20,0
1220,0,0,1,1,2.452199936,0.742860019,4,465,8,0,1,0,1.720430136,0
800,1,4,1,0,2.930299997,1.105260015,1.350000024,465,274,0,0,1,58.92473221,1
980,28,2.099999905,0,0,2.531300068,0.781819999,2,240,120,0,0,1,50,0
770,0,0,1,1,2.741899967,0.711109996,1.320000052,386,223,0,1,0,57.77202225,1
890,0,0,1,1,2.994100094,1.022729993,2.640000105,69,63,0,0,1,91.30434418,1
990,0,0,1,1,2.544199944,0.980000019,2.140000105,204,31,1,1,0,15.1960783,0
830,25,2.079999924,1,0,2.805299997,0.804350019,1.940000057,245,73,0,0,1,29.79591751,0
980,0,0,1,1,2.544699907,1,2.309999943,238,80,0,0,1,33.61344528,1
950,90,2.460000038,0,0,2.849900007,0.696430027,3,148,18,0,0,1,12.16216183,0
980,0,0,1,1,2.578700066,0.884620011,2.769999981,238,46,0,0,1,19.32773018,1
640,83,2.019999981,1,0,2.686100006,0.828570008,1.25,534,165,0,1,0,30.89887619,1
1130,40,2.900000095,1,0,2.360599995,0.686569989,2.539999962,396,7,0,0,1,1.767676711,1
1170,43,2.50999999,1,0,2.997100115,1.052629948,2.880000114,230,13,0,0,1,5.652173996,1
700,2,4,1,0,2.780299902,0.75,0.689999998,191,124,0,1,0,64.92146301,0
790,42,1.850000024,1,0,2.700299978,0.926829994,1.600000024,125,34,0,1,0,27.20000076,1
1020,0,0,0,1,2.342799902,0.789470017,1.210000038,574,81,0,0,1,14.11149788,0
980,25,2.599999905,0,0,2.940500021,0.849059999,2.849999905,665,33,0,0,1,4.962406158,0
1080,91,2.289999962,0,0,2.81159997,0.565219998,2.930000067,539,152,0,0,1,28.20037079,0
820,0,0,1,1,2.374599934,0.906979978,2.24000001,526,160,1,1,0,30.41825104,0
1140,91,3.319999933,0,0,2.700200081,0.753849983,3,160,6,0,0,1,3.75,0
960,0,0,0,1,2.678999901,1.133329988,3,201,19,0,0,1,9.452735901,0
700,1,4,1,0,2.741899967,0.666670024,2.160000086,201,103,0,0,1,51.24378204,1
630,80,1.799999952,1,0,3.012200117,1.032259941,1.710000038,163,89,0,1,0,54.60122681,1
640,33,1.75,1,0,2.914299965,1.133329988,2.200000048,353,230,0,1,0,65.1558075,1
1020,29,2.549999952,0,0,2.836999893,0.821430027,2.309999943,345,46,0,0,1,13.33333302,0
1030,62,2.430000067,1,0,2.934999943,0.872730017,3.230000019,176,27,0,0,1,15.340909,1
920,101,3.329999924,1,0,2.808399916,0.957449973,3.329999924,575,155,1,0,1,26.95652199,0
990,0,0,1,1,2.489599943,0.833329976,3,715,23,1,0,1,3.216783285,0
920,7,1.710000038,1,0,2.861900091,0.877550006,2.799999952,715,529,0,0,1,73.98601532,0
840,0,0,1,1,2.687599897,0.826089978,1.179999948,715,511,0,1,0,71.46852875,0
990,0,0,1,1,2.530100107,0.867919981,2.25,715,279,0,0,1,39.02098083,0
